movie_id,movie_name,genre
956,The Hobbit: The Battle of the Five Armies,Fantasy
957,Transformers: Age of Extinction,Action
957,Transformers: Age of Extinction,Adventure
957,Transformers: Age of Extinction,Sci-Fi
958,Maleficent,Action
958,Maleficent,Adventure
958,Maleficent,Family
958,Maleficent,Fantasy
958,Maleficent,Romance
959,X-Men: Days of Future Past,Action
959,X-Men: Days of Future Past,Adventure
959,X-Men: Days of Future Past,Sci-Fi
959,X-Men: Days of Future Past,Thriller
960,Big Hero 6,Animation
960,Big Hero 6,Action
960,Big Hero 6,Adventure
960,Big Hero 6,Comedy
960,Big Hero 6,Family
960,Big Hero 6,Sci-Fi
961,Dawn of the Planet of the Apes,Action
961,Dawn of the Planet of the Apes,Drama
961,Dawn of the Planet of the Apes,Sci-Fi
961,Dawn of the Planet of the Apes,Thriller
962,The Amazing Spider-Man 2,Action
962,The Amazing Spider-Man 2,Adventure
962,The Amazing Spider-Man 2,Fantasy
962,The Amazing Spider-Man 2,Sci-Fi
963,Godzilla (2014),Action
963,Godzilla (2014),Adventure
963,Godzilla (2014),Sci-Fi
963,Godzilla (2014),Thriller
964,22 Jump Street,Action
964,22 Jump Street,Comedy
964,22 Jump Street,Crime
965,Teenage Mutant Ninja Turtles (2014),Action
965,Teenage Mutant Ninja Turtles (2014),Adventure
965,Teenage Mutant Ninja Turtles (2014),Comedy
965,Teenage Mutant Ninja Turtles (2014),Fantasy
965,Teenage Mutant Ninja Turtles (2014),Sci-Fi
966,Interstellar,Adventure
966,Interstellar,Drama
966,Interstellar,Sci-Fi
967,How to Train Your Dragon 2,Animation
967,How to Train Your Dragon 2,Action
967,How to Train Your Dragon 2,Adventure
967,How to Train Your Dragon 2,Comedy
967,How to Train Your Dragon 2,Family
967,How to Train Your Dragon 2,Fantasy
968,Gone Girl,Drama
968,Gone Girl,Mystery
968,Gone Girl,Thriller
969,Divergent,Adventure
969,Divergent,Mystery
969,Divergent,Sci-Fi
970,Neighbors,Comedy
971,Ride Along,Action
971,Ride Along,Comedy
972,Rio 2,Animation
972,Rio 2,Adventure
972,Rio 2,Comedy
972,Rio 2,Family
972,Rio 2,Musical
973,Into the Woods,Adventure
973,Into the Woods,Fantasy
973,Into the Woods,Musical
974,Lucy,Action
974,Lucy,Sci-Fi
974,Lucy,Thriller
975,The Fault in our Stars,Drama
975,The Fault in our Stars,Romance
976,Unbroken,Biography
976,Unbroken,Drama
976,Unbroken,Sport
976,Unbroken,War
977,Night at the Museum: Secret of the Tomb,Adventure
977,Night at the Museum: Secret of the Tomb,Comedy
977,Night at the Museum: Secret of the Tomb,Family
977,Night at the Museum: Secret of the Tomb,Fantasy
978,Mr. Peabody & Sherman,Animation
978,Mr. Peabody & Sherman,Adventure
978,Mr. Peabody & Sherman,Comedy
978,Mr. Peabody & Sherman,Family
978,Mr. Peabody & Sherman,Sci-Fi
979,300: Rise of An Empire,Action
979,300: Rise of An Empire,Drama
979,300: Rise of An Empire,Fantasy
979,300: Rise of An Empire,War
980,The Maze Runner,Action
980,The Maze Runner,Mystery
980,The Maze Runner,Sci-Fi
980,The Maze Runner,Thriller
981,The Equalizer,Action
981,The Equalizer,Crime
981,The Equalizer,Thriller
982,Noah,Action
982,Noah,Adventure
982,Noah,Drama
983,Edge of Tomorrow,Action
983,Edge of Tomorrow,Adventure
983,Edge of Tomorrow,Sci-Fi
984,Non-Stop,Action
984,Non-Stop,Mystery
984,Non-Stop,Thriller
985,Heaven is for Real,Drama
986,The Imitation Game,Biography
986,The Imitation Game,Drama
986,The Imitation Game,Thriller
986,The Imitation Game,War
987,Dumb and Dumber To,Comedy
988,Annie (2014),Comedy
988,Annie (2014),Drama
988,Annie (2014),Family
988,Annie (2014),Musical
989,Fury (2014),Action
989,Fury (2014),Drama
989,Fury (2014),War
990,Tammy,Comedy
991,Annabelle,Horror
991,Annabelle,Mystery
992,The Other Woman (2014),Comedy
992,The Other Woman (2014),Romance
993,Penguins of Madagascar,Animation
993,Penguins of Madagascar,Adventure
993,Penguins of Madagascar,Comedy
993,Penguins of Madagascar,Family
994,Let's Be Cops,Comedy
995,The Monuments Men,Drama
995,The Monuments Men,War
996,Hercules (2014),Action
996,Hercules (2014),Adventure
997,The Purge: Anarchy,Action
997,The Purge: Anarchy,Horror
997,The Purge: Anarchy,Sci-Fi
997,The Purge: Anarchy,Thriller
998,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Comedy
998,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family
999,Think Like a Man Too,Comedy
999,Think Like a Man Too,Romance
1000,Exodus: Gods and Kings,Action
1000,Exodus: Gods and Kings,Adventure
1000,Exodus: Gods and Kings,Biography
1000,Exodus: Gods and Kings,Drama
