movie_id,movie_imdb_id,movie_name,role,order,name,imdb_id
21,451079,Dr. Seuss' Horton Hears a Who!,cast,1,Jim Carrey,120
21,451079,Dr. Seuss' Horton Hears a Who!,cast,2,Steve Carell,136797
21,451079,Dr. Seuss' Horton Hears a Who!,cast,3,Carol Burnett,993
21,451079,Dr. Seuss' Horton Hears a Who!,cast,4,Will Arnett,4715
21,451079,Dr. Seuss' Horton Hears a Who!,cast,5,Seth Rogen,736622
22,830515,Quantum of Solace,cast,1,Daniel Craig,185819
22,830515,Quantum of Solace,cast,2,Olga Kurylenko,1385871
22,830515,Quantum of Solace,cast,3,Mathieu Amalric,23832
22,830515,Quantum of Solace,cast,4,Judi Dench,1132
22,830515,Quantum of Solace,cast,5,Giancarlo Giannini,316284
23,479952,Madagascar: Escape 2 Africa,cast,1,Ben Stiller,1774
23,479952,Madagascar: Escape 2 Africa,cast,2,Chris Rock,1674
23,479952,Madagascar: Escape 2 Africa,cast,3,David Schwimmer,1710
23,479952,Madagascar: Escape 2 Africa,cast,4,Jada Pinkett Smith,586
23,479952,Madagascar: Escape 2 Africa,cast,5,Sacha Baron Cohen,56187
24,1099212,Twilight,cast,1,Kristen Stewart,829576
24,1099212,Twilight,cast,2,Sarah Clarke,1020124
24,1099212,Twilight,cast,3,Matt Bushell,1140952
24,1099212,Twilight,cast,4,Billy Burke,121605
24,1099212,Twilight,cast,5,Gil Birmingham,83655
25,441773,Kung Fu Panda,cast,1,Jack Black,85312
25,441773,Kung Fu Panda,cast,2,Dustin Hoffman,163
25,441773,Kung Fu Panda,cast,3,Angelina Jolie,1401
25,441773,Kung Fu Panda,cast,4,Ian McShane,574534
25,441773,Kung Fu Panda,cast,5,Jackie Chan,329
26,910970,WALL-E,cast,1,Ben Burtt,123785
26,910970,WALL-E,cast,2,Elissa Knight,2264184
26,910970,WALL-E,cast,3,Jeff Garlin,307531
26,910970,WALL-E,cast,4,Fred Willard,929609
26,910970,WALL-E,cast,5,MacInTalk,3050831
27,448157,Hancock,cast,1,Will Smith,226
27,448157,Hancock,cast,2,Charlize Theron,234
27,448157,Hancock,cast,3,Jason Bateman,867
27,448157,Hancock,cast,4,Jae Head,2052567
27,448157,Hancock,cast,5,Eddie Marsan,550371
28,367882,Indiana Jones and the Kingdom of the Crystal Skull,cast,1,Harrison Ford,148
28,367882,Indiana Jones and the Kingdom of the Crystal Skull,cast,2,Cate Blanchett,949
28,367882,Indiana Jones and the Kingdom of the Crystal Skull,cast,3,Karen Allen,261
28,367882,Indiana Jones and the Kingdom of the Crystal Skull,cast,4,Shia LaBeouf,479471
28,367882,Indiana Jones and the Kingdom of the Crystal Skull,cast,5,Ray Winstone,935653
29,371746,Iron Man,cast,1,Robert Downey Jr.,375
29,371746,Iron Man,cast,2,Terrence Howard,5024
29,371746,Iron Man,cast,3,Jeff Bridges,313
29,371746,Iron Man,cast,4,Gwyneth Paltrow,569
29,371746,Iron Man,cast,5,Leslie Bibb,4753
30,468569,The Dark Knight,cast,1,Christian Bale,288
30,468569,The Dark Knight,cast,2,Heath Ledger,5132
30,468569,The Dark Knight,cast,3,Aaron Eckhart,1173
30,468569,The Dark Knight,cast,4,Michael Caine,323
30,468569,The Dark Knight,cast,5,Maggie Gyllenhaal,350454
31,988045,Sherlock Holmes,cast,1,Robert Downey Jr.,375
31,988045,Sherlock Holmes,cast,2,Jude Law,179
31,988045,Sherlock Holmes,cast,3,Rachel McAdams,1046097
31,988045,Sherlock Holmes,cast,4,Mark Strong,835016
31,988045,Sherlock Holmes,cast,5,Eddie Marsan,550371
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,1,Zachary Levi,1157048
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,2,David Cross,189144
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,3,Jason Lee,5134
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,4,Justin Long,519043
32,1231580,Alvin and the Chipmunks: The Squeakquel,cast,5,Matthew Gray Gubler,1131557
33,878804,The Blind Side,cast,1,Sandra Bullock,113
