movie_id,year,rank,name,wiki_name,theaters,total_gross,studio
800,2010,50,The Sorcerer's Apprentice,The Sorcerer's Apprentice (2010 film),3504,63150991,BV
801,2011,1,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows – Part 2,4375,381011219,WB
802,2011,2,Transformers: Dark of the Moon,Transformers: Dark of the Moon,4088,352390543,P/DW
803,2011,3,The Twilight Saga: Breaking Dawn Part 1,The Twilight Saga: Breaking Dawn – Part 1,4066,281287133,Sum.
804,2011,4,The Hangover Part II,The Hangover Part II,3675,254464305,WB
805,2011,5,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,4164,241071802,BV
806,2011,6,Fast Five,Fast Five,3793,209837675,Uni.
807,2011,7,Mission: Impossible - Ghost Protocol,Mission: Impossible – Ghost Protocol,3555,209397903,Par.
808,2011,8,Cars 2,Cars 2,4115,191452396,BV
809,2011,9,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,3703,186848418,WB
810,2011,10,Thor,Thor (film),3963,181030624,Par.
811,2011,11,Rise of the Planet of the Apes,Rise of the Planet of the Apes,3691,176760185,Fox
812,2011,12,Captain America: The First Avenger,Captain America: The First Avenger,3715,176654505,Par.
813,2011,13,The Help,The Help (film),3014,169708112,BV
814,2011,14,Bridesmaids,Bridesmaids (2011 film),2958,169106725,Uni.
815,2011,15,Kung Fu Panda 2,Kung Fu Panda 2,3952,165249063,P/DW
816,2011,16,Puss in Boots,Puss in Boots (2011 film),3963,149260504,P/DW
817,2011,17,X-Men: First Class,X-Men: First Class,3692,146408305,Fox
818,2011,18,Rio,Rio (2011 film),3842,143619809,Fox
819,2011,19,The Smurfs,The Smurfs (film),3427,142614158,Sony
820,2011,20,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,3734,133110742,Fox
821,2011,21,Super 8,Super 8 (film),3424,127004179,Par.
822,2011,22,Rango,Rango (2011 film),3923,123477607,Par.
823,2011,23,Horrible Bosses,Horrible Bosses,3134,117538559,WB (NL)
824,2011,24,Green Lantern,Green Lantern (film),3816,116601172,WB
825,2011,25,Hop,Hop (film),3616,108085305,Uni.
826,2011,26,Paranormal Activity 3,Paranormal Activity 3,3329,104028807,Par.
827,2011,27,Just Go With It,Just Go with It,3548,103028109,Sony
828,2011,28,The Girl with the Dragon Tattoo (2011),The Girl with the Dragon Tattoo (2011 film),2950,102515793,Sony
829,2011,29,Bad Teacher,Bad Teacher,3049,100292856,Sony
830,2011,30,Cowboys & Aliens,Cowboys & Aliens,3754,100240551,Uni.
831,2011,31,Gnomeo and Juliet,Gnomeo & Juliet,3037,99967670,BV
832,2011,32,The Green Hornet,The Green Hornet (2011 film),3584,98780042,Sony
833,2011,33,The Lion King (in 3D),The Lion King,2340,94242001,BV
834,2011,34,The Muppets,The Muppets (film),3440,88631237,BV
835,2011,35,Real Steel,Real Steel,3440,85468508,BV
836,2011,36,"Crazy, Stupid, Love.","Crazy, Stupid, Love",3020,84351197,WB
837,2011,37,Battle: Los Angeles,Battle: Los Angeles,3417,83552429,Sony
838,2011,38,Immortals,Immortals (2011 film),3120,83504017,Rela.
839,2011,39,The Descendants,The Descendants,2038,82584160,FoxS
840,2011,40,Zookeeper,Zookeeper (film),3482,80360843,Sony
841,2011,41,War Horse,War Horse (film),2856,79884879,BV
842,2011,42,Limitless,Limitless,2838,79249455,Rela.
843,2011,43,Tower Heist,Tower Heist,3870,78046570,Uni.
844,2011,44,The Adventures of Tintin,The Adventures of Tintin (film),3087,77591831,Par.
845,2011,45,Contagion,Contagion (film),3222,75658097,WB
846,2011,46,We Bought a Zoo,We Bought a Zoo,3170,75624550,Fox
847,2011,47,Moneyball,Moneyball (film),3018,75605492,Sony
848,2011,48,Jack and Jill,Jack and Jill (2011 film),3438,74158157,Sony
849,2011,49,Hugo,Hugo (film),2608,73864507,Par.
850,2011,50,Justin Bieber: Never Say Never,Justin Bieber: Never Say Never,3118,73013910,Par.
851,2012,1,Marvel's The Avengers,The Avengers (2012 film),4349,623357910,BV
852,2012,2,The Dark Knight Rises,The Dark Knight Rises,4404,448139099,WB
853,2012,3,The Hunger Games,The Hunger Games (film),4137,408010692,LGF
854,2012,4,Skyfall,Skyfall,3526,304360277,Sony
855,2012,5,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,4100,303003568,WB
856,2012,6,The Twilight Saga: Breaking Dawn Part 2,The Twilight Saga: Breaking Dawn – Part 2,4070,292324737,LG/S
857,2012,7,The Amazing Spider-Man,The Amazing Spider-Man (2012 film),4318,262030663,Sony
858,2012,8,Brave,Brave (2012 film),4164,237283207,BV
859,2012,9,Ted,Ted (film),3303,218815487,Uni.
860,2012,10,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,4263,216391482,P/DW
861,2012,11,Dr. Seuss' The Lorax,The Lorax (film),3769,214030500,Uni.
862,2012,12,Wreck-It Ralph,Wreck-It Ralph,3752,189422889,BV
863,2012,13,Lincoln,Lincoln (2012 film),2293,182207973,BV
864,2012,14,MIB 3,Men in Black 3,4248,179020854,Sony
865,2012,15,Django Unchained,Django Unchained,3012,162805434,Wein.
866,2012,16,Ice Age: Continental Drift,Ice Age: Continental Drift,3886,161321843,Fox
867,2012,17,Snow White and the Huntsman,Snow White and the Huntsman,3777,155332381,Uni.
868,2012,18,Les Miserables (2012),Les Misrables (2012 film),2927,148809770,Uni.
869,2012,19,Hotel Transylvania,Hotel Transylvania,3375,148313048,Sony
870,2012,20,Taken 2,Taken 2,3706,139854287,Fox
871,2012,21,21 Jump Street,21 Jump Street (film),3148,138447667,Sony
872,2012,22,Argo,Argo (2012 film),3247,136025503,WB
873,2012,23,Silver Linings Playbook,Silver Linings Playbook,2809,132092958,Wein.
874,2012,24,Prometheus,Prometheus (2012 film),3442,126477084,Fox
875,2012,25,Safe House,Safe House (2012 film),3121,126373434,Uni.
876,2012,26,The Vow,The Vow (2012 film),3038,125014030,SGem
877,2012,27,Life of Pi,Life of Pi (film),2946,124987023,Fox
878,2012,28,Magic Mike,Magic Mike,3120,113721571,WB
879,2012,29,The Bourne Legacy,The Bourne Legacy (film),3753,113203870,Uni.
880,2012,30,Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,3500,103860290,WB
881,2012,31,Rise of the Guardians,Rise of the Guardians,3672,103412758,P/DW
882,2012,32,Zero Dark Thirty,Zero Dark Thirty,2946,95720716,Sony
883,2012,33,Flight,Flight (2012 film),2638,93772375,Par.
884,2012,34,Think Like a Man,Think Like a Man,2052,91547205,SGem
885,2012,35,The Campaign,The Campaign (film),3302,86907746,WB
886,2012,36,The Expendables 2,The Expendables 2,3355,85028192,LGF
887,2012,37,Wrath of the Titans,Wrath of the Titans,3545,83670083,WB
888,2012,38,Jack Reacher,Jack Reacher (film),3352,80070736,Par.
889,2012,39,Dark Shadows,Dark Shadows (film),3755,79727149,WB
890,2012,40,Parental Guidance,Parental Guidance (film),3368,77267296,Fox
891,2012,41,John Carter,John Carter (film),3749,73078100,BV
892,2012,42,Act of Valor,Act of Valor,3053,70012847,Rela.
893,2012,43,This Is 40,This Is 40,2931,67544505,Uni.
894,2012,44,Contraband,Contraband (2012 film),2870,66528000,Uni.
895,2012,45,Looper,Looper (film),2993,66486205,TriS
896,2012,46,Tyler Perry's Madea's Witness Protection,Madea's Witness Protection,2161,65653242,LGF
897,2012,47,Battleship,Battleship (film),3702,65422625,Uni.
898,2012,48,Pitch Perfect,Pitch Perfect,2787,65001093,Uni.
899,2012,49,Mirror Mirror,Mirror Mirror (film),3618,64935167,Rela.
900,2012,50,Chronicle (2012),Chronicle (film),2908,64575175,Fox
901,2013,1,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,4163,424668047,LGF
902,2013,2,Iron Man 3,Iron Man 3,4253,409013994,BV
903,2013,3,Frozen,Frozen (2013 film),3742,400738009,BV
904,2013,4,Despicable Me 2,Despicable Me 2,4003,368061265,Uni.
905,2013,5,Man of Steel,Man of Steel (film),4207,291045518,WB
906,2013,6,Gravity,Gravity (film),3820,274092705,WB
907,2013,7,Monsters University,Monsters University,4004,268492764,BV
908,2013,8,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,3928,258366855,WB
909,2013,9,Fast & Furious 6,Fast & Furious 6,3771,238679850,Uni.
910,2013,10,Oz The Great and Powerful,Oz the Great and Powerful,3912,234911825,BV
911,2013,11,Star Trek Into Darkness,Star Trek Into Darkness,3907,228778661,Par.
912,2013,12,Thor: The Dark World,Thor: The Dark World,3841,206362140,BV
913,2013,13,World War Z,World War Z (film),3607,202359711,Par.
914,2013,14,The Croods,The Croods,4065,187168425,Fox
915,2013,15,The Heat,The Heat (film),3184,159582188,Fox
916,2013,16,We're the Millers,We're the Millers,3445,150394119,WB
917,2013,17,American Hustle,American Hustle,2629,150117807,Sony
918,2013,18,The Great Gatsby (2013),The Great Gatsby (2013 film),3550,144840419,WB
919,2013,19,The Conjuring,The Conjuring,3115,137400141,WB
920,2013,20,Identity Thief,Identity Thief,3230,134506920,Uni.
921,2013,21,Grown Ups 2,Grown Ups 2,3491,133668525,Sony
922,2013,22,The Wolverine,The Wolverine (film),3924,132556852,Fox
923,2013,23,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,3507,125168368,Par.
924,2013,24,Lone Survivor,Lone Survivor (film),3285,125095601,Uni.
925,2013,25,G.I. Joe: Retaliation,G.I. Joe: Retaliation,3734,122523060,Par.
926,2013,26,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,4001,119793567,Sony
927,2013,27,Now You See Me,Now You See Me (film),3082,117723989,LG/S
928,2013,28,The Wolf of Wall Street,The Wolf of Wall Street (2013 film),2557,116900694,Par.
929,2013,29,Lee Daniels' The Butler,The Butler,3330,116632095,Wein.
930,2013,30,The Hangover Part III,The Hangover Part III,3565,112200072,WB
931,2013,31,Epic,Epic (2013 film),3894,107518682,Fox
932,2013,32,Captain Phillips,Captain Phillips (film),3143,107100855,Sony
933,2013,33,Jackass Presents: Bad Grandpa,Jackass Presents: Bad Grandpa,3345,102003019,Par.
934,2013,34,Pacific Rim,Pacific Rim (film),3285,101802906,WB
935,2013,35,This is the End,This Is the End,3055,101470202,Sony
936,2013,36,Olympus Has Fallen,Olympus Has Fallen,3106,98925640,FD
937,2013,37,42,42 (film),3405,95020213,WB
938,2013,38,Elysium,Elysium (film),3284,93050117,TriS
939,2013,39,Planes,Planes (film),3716,90288712,BV
940,2013,40,The Lone Ranger,The Lone Ranger (2013 film),3904,89302115,BV
941,2013,41,Oblivion,Oblivion (2013 film),3792,89107235,Uni.
942,2013,42,Insidious Chapter 2,Insidious: Chapter 2,3155,83586447,FD
943,2013,43,Saving Mr. Banks,Saving Mr. Banks,2671,83301580,BV
944,2013,44,Turbo,Turbo (film),3809,83028128,Fox
945,2013,45,2 Guns,2 Guns,3028,75612460,Uni.
946,2013,46,White House Down,White House Down,3222,73103784,Sony
947,2013,47,Mama,Mama (2013 film),2781,71628180,Uni.
948,2013,48,Safe Haven,Safe Haven (film),3223,71349120,Rela.
949,2013,49,The Smurfs 2,The Smurfs 2,3867,71017784,Sony
950,2013,50,The Best Man Holiday,The Best Man Holiday,2041,70525195,Uni.
951,2014,1,American Sniper,American Sniper (film),3885,349973107,WB
952,2014,2,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay – Part 1,4151,337135885,LGF
953,2014,3,Guardians of the Galaxy,Guardians of the Galaxy (film),4088,333176600,BV
954,2014,4,Captain America: The Winter Soldier,Captain America: The Winter Soldier,3938,259766572,BV
955,2014,5,The LEGO Movie,The Lego Movie,3890,257760692,WB
956,2014,6,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,3875,255119788,WB
957,2014,7,Transformers: Age of Extinction,Transformers: Age of Extinction,4233,245439076,Par.
958,2014,8,Maleficent,Maleficent (film),3948,241410378,BV
959,2014,9,X-Men: Days of Future Past,X-Men: Days of Future Past,4001,233921534,Fox
960,2014,10,Big Hero 6,Big Hero 6 (film),3773,222527828,BV
961,2014,11,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,3969,208545589,Fox
962,2014,12,The Amazing Spider-Man 2,The Amazing Spider-Man 2,4324,202853933,Sony
963,2014,13,Godzilla (2014),Godzilla (2014 film),3952,200676069,WB
964,2014,14,22 Jump Street,22 Jump Street,3426,191719337,Sony
965,2014,15,Teenage Mutant Ninja Turtles (2014),Teenage Mutant Ninja Turtles (2014 film),3980,191204754,Par.
966,2014,16,Interstellar,Interstellar (film),3561,188020017,Par.
967,2014,17,How to Train Your Dragon 2,How to Train Your Dragon 2,4268,177002924,Fox
968,2014,18,Gone Girl,Gone Girl (film),3284,167767189,Fox
969,2014,19,Divergent,Divergent (film),3936,150947895,LG/S
970,2014,20,Neighbors,Neighbors (2014 film),3311,150157400,Uni.
971,2014,21,Ride Along,Ride Along (film),2867,134938200,Uni.
972,2014,22,Rio 2,Rio 2,3975,131538435,Fox
973,2014,23,Into the Woods,Into the Woods (film),2833,128002372,BV
974,2014,24,Lucy,Lucy (2014 film),3202,126663600,Uni.
975,2014,25,The Fault in our Stars,The Fault in Our Stars (film),3340,124872350,Fox
976,2014,26,Unbroken,Unbroken (film),3301,115637895,Uni.
977,2014,27,Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,3914,113668526,Fox
978,2014,28,Mr. Peabody & Sherman,Mr. Peabody & Sherman,3951,111506430,Fox
979,2014,29,300: Rise of An Empire,300: Rise of an Empire,3490,106580051,WB
980,2014,30,The Maze Runner,The Maze Runner (film),3638,102427862,Fox
981,2014,31,The Equalizer,The Equalizer (film),3236,101530738,Sony
982,2014,32,Noah,Noah (2014 film),3571,101200044,Par.
983,2014,33,Edge of Tomorrow,Edge of Tomorrow (film),3505,100206256,WB
984,2014,34,Non-Stop,Non-Stop (film),3183,92168600,Uni.
985,2014,35,Heaven is for Real,Heaven Is for Real (film),3048,91443253,TriS
986,2014,36,The Imitation Game,The Imitation Game,2402,91125683,Wein.
987,2014,37,Dumb and Dumber To,Dumb and Dumber To,3188,86208010,Uni.
988,2014,38,Annie (2014),Annie (2014 film),3197,85911262,Sony
989,2014,39,Fury (2014),Fury,3313,85817906,Sony
990,2014,40,Tammy,Tammy (film),3465,84525432,WB
991,2014,41,Annabelle,Annabelle (film),3215,84273813,WB (NL)
992,2014,42,The Other Woman (2014),The Other Woman,3306,83911193,Fox
993,2014,43,Penguins of Madagascar,The Penguins of Madagascar,3775,83350911,Fox
994,2014,44,Let's Be Cops,Let's Be Cops,3140,82390774,Fox
995,2014,45,The Monuments Men,The Monuments Men,3083,78031620,Sony
996,2014,46,Hercules (2014),Hercules (2014 film),3595,72688614,Par.
997,2014,47,The Purge: Anarchy,The Purge: Anarchy,2856,71962800,Uni.
998,2014,48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day (film)",3117,66954149,BV
999,2014,49,Think Like a Man Too,Think Like a Man Too,2225,65182182,SGem
1000,2014,50,Exodus: Gods and Kings,Exodus: Gods and Kings,3503,65014513,Fox
