movie_id,movie_name,role,order,name,imdb_id,img,gender,races,note,reference_url,voice,img_movie
4,Mission: Impossible - Ghost Protocol,cast,5,Michael Nyqvist,638824,http://s3.amazonaws.com/brianfoo_art/hollywood/638824.jpg,m,w,"Swedish, Italian",http://www.imdb.com/name/nm0638824/bio,0,http://cdn.collider.com/wp-content/uploads/mission-impossible-4-ghost-protocol-movie-image-007.jpg
5,Fast Five,cast,1,Vin Diesel,4874,http://s3.amazonaws.com/brianfoo_art/hollywood/4874.jpg,m,"w,b","Mother is English, German, Scottish, and Irish. Biological father's race not publicly known. Diesel identifies as person of color. Some sources say his biological father was African-American ",http://ethnicelebs.com/vin-diesel,0,http://images4.fanpop.com/image/photos/20900000/Fast-Five-Dom-Toretto-vin-diesel-20980984-853-1280.jpg
5,Fast Five,cast,2,Paul Walker,908094,http://s3.amazonaws.com/brianfoo_art/hollywood/908094.jpg,m,w,English and German,http://www.imdb.com/name/nm0908094/bio,0,http://photos.imageevent.com/afap/wallpapers/movies/fastfive//Fast%20Five%20-%20Paul%20Walker.jpg
5,Fast Five,cast,3,Jordana Brewster,108287,http://s3.amazonaws.com/brianfoo_art/hollywood/108287.jpg,f,"w,h",Mother is Brazilian; Father is English and Scottish; technically not hispanic; identifies as Latina,http://www.huffingtonpost.com/2012/06/13/dallas-star-jordana-brewster_n_1595303.html,0,http://whosthebomb.com/wp-content/uploads/2014/06/JordanaFast.jpg
5,Fast Five,cast,4,Tyrese Gibson,879085,http://s3.amazonaws.com/brianfoo_art/hollywood/879085.jpg,m,b,,http://www.imdb.com/name/nm0879085/awards,0,http://cdn.collider.com/wp-content/uploads/tyrese-gibson-fast-furious-6.jpg
5,Fast Five,cast,5,Ludacris,524839,http://s3.amazonaws.com/brianfoo_art/hollywood/524839.jpg,m,"w,b,o","African-American, English, Jewish, and Native American ancestry",https://en.wikipedia.org/wiki/Ludacris#Early_life,0,http://photos.imageevent.com/afap/wallpapers/movies/fastfive/giant/Fast%20Five%20-%20Ludacris.jpg
6,Pirates of the Caribbean: On Stranger Tides,cast,1,Johnny Depp,136,http://s3.amazonaws.com/brianfoo_art/hollywood/136.jpg,m,w,"English, as well as Irish, Scots-Irish, Scottish, Welsh, French, Dutch, Belgian (Flemish), and German",http://www.imdb.com/name/nm0000136/bio,0,http://images4.fanpop.com/image/photos/24400000/Pirates-of-the-caribbean-on-stranger-tides-D-johnny-depp-24451326-1500-996.jpg
6,Pirates of the Caribbean: On Stranger Tides,cast,2,Penélope Cruz,4851,http://s3.amazonaws.com/brianfoo_art/hollywood/4851.jpg,f,h,Spanish,http://www.imdb.com/name/nm0004851/bio,0,http://www.aceshowbiz.com/images/still/on_stranger_tides10.jpg
6,Pirates of the Caribbean: On Stranger Tides,cast,3,Geoffrey Rush,1691,http://s3.amazonaws.com/brianfoo_art/hollywood/1691.jpg,m,w,"His mother was of German descent and his father had English, Irish, and Scottish ancestry",http://www.imdb.com/name/nm0001691/bio,0,http://www.heyuguys.com/images/2011/02/POTC4-Geoffrey-Rush.jpg
6,Pirates of the Caribbean: On Stranger Tides,cast,4,Ian McShane,574534,http://s3.amazonaws.com/brianfoo_art/hollywood/574534.jpg,m,w,His father was Scottish and his mother was of English and Irish descent,http://www.imdb.com/name/nm0574534/bio,0,http://www.coolwallpapers.org/photo/41424/Ian_McShane_02.jpg
6,Pirates of the Caribbean: On Stranger Tides,cast,5,Kevin McNally,573618,http://s3.amazonaws.com/brianfoo_art/hollywood/573618.jpg,m,w,English,http://www.imdb.com/name/nm0573618/bio,0,http://www.hotflick.net/flicks/2011_Pirates_of_The_Caribbean__On_Stranger_Tides/big/fhd011PTCOST_Kevin_McNally_002.jpg
7,The Hangover Part II,cast,1,Bradley Cooper,177896,http://s3.amazonaws.com/brianfoo_art/hollywood/177896.jpg,m,w,His father was of Irish descent and his mother is of Italian ancestry,http://www.imdb.com/name/nm0177896/bio,0,http://cdn.collider.com/wp-content/uploads/the-hangover-part-ii-movie-image-30.jpg
7,The Hangover Part II,cast,2,Ed Helms,1159180,http://s3.amazonaws.com/brianfoo_art/hollywood/1159180.jpg,m,w,"English, as well as smaller amounts of Scots-Irish (Northern Irish), German, Dutch, and French",http://www.imdb.com/name/nm1159180/bio,0,http://www.aceshowbiz.com/images/still/the_hangover2_07.jpg
7,The Hangover Part II,cast,3,Zach Galifianakis,302108,http://s3.amazonaws.com/brianfoo_art/hollywood/302108.jpg,m,w,His father is of Greek descent and his mother is of mostly English and Scottish ancestry,http://www.imdb.com/name/nm0302108/bio,0,http://www.aceshowbiz.com/images/still/the_hangover_part_ii_03.jpg
7,The Hangover Part II,cast,4,Justin Bartha,58581,http://s3.amazonaws.com/brianfoo_art/hollywood/58581.jpg,m,w,"His parents are both from Jewish families (their families moved to the U.S. from Austria, Germany, Russia, and Poland)",http://www.imdb.com/name/nm0058581/bio,0,http://4.bp.blogspot.com/-erNZrreqNFg/TdtAsozGxEI/AAAAAAAAA70/3kboCCUMPVY/s1600/HO2-00277.jpg
7,The Hangover Part II,cast,5,Ken Jeong,421822,http://s3.amazonaws.com/brianfoo_art/hollywood/421822.jpg,m,a,Korean,http://www.imdb.com/name/nm0421822/bio,0,http://cdn.collider.com/wp-content/uploads/the-hangover-part-ii-movie-image-27.jpg
8,The Twilight Saga: Breaking Dawn Part 1,cast,1,Kristen Stewart,829576,http://s3.amazonaws.com/brianfoo_art/hollywood/829576.jpg,f,w,,,0,https://s-media-cache-ak0.pinimg.com/736x/69/9a/b1/699ab124a3fbcf946f758f2bb1d2e2fb.jpg
8,The Twilight Saga: Breaking Dawn Part 1,cast,2,Robert Pattinson,1500155,http://s3.amazonaws.com/brianfoo_art/hollywood/1500155.jpg,m,w,,,0,https://gianramos.files.wordpress.com/2011/11/155412_behind-the-scenes-robert-pattinson-and-kristen-stewarts-breaking-dawn.jpg
8,The Twilight Saga: Breaking Dawn Part 1,cast,3,Taylor Lautner,1210124,http://s3.amazonaws.com/brianfoo_art/hollywood/1210124.jpg,m,w,"Austrian, English, German, Swiss-German, French, Irish, and Dutch",http://www.imdb.com/name/nm1210124/bio,0,http://cache.reelz.com/assets/content/repFrame/60529/lautner.jpg
8,The Twilight Saga: Breaking Dawn Part 1,cast,4,Billy Burke,121605,http://s3.amazonaws.com/brianfoo_art/hollywood/121605.jpg,m,w,,,0,http://cdn.collider.com/wp-content/uploads/twilight-breaking-dawn-part-2-kristen-stewart-billy-burke.jpg
