movie_id,movie_imdb_id,movie_name,role,order,name,imdb_id,img,gender,races,note,reference_url,voice
8,317219,Cars,cast,5,Cheech Marin,1507,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1507.jpg,,,,,1
9,477347,Night at the Museum,cast,1,Ben Stiller,1774,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1774.jpg,,,,,0
9,477347,Night at the Museum,cast,2,Carla Gugino,1303,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1303.jpg,,,,,0
9,477347,Night at the Museum,cast,3,Dick Van Dyke,1813,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1813.jpg,,,,,0
9,477347,Night at the Museum,cast,4,Mickey Rooney,1682,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1682.jpg,,,,,0
9,477347,Night at the Museum,cast,5,Bill Cobbs,167850,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/167850.jpg,,,,,0
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,1,Johnny Depp,136,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/136.jpg,,,,,0
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,2,Orlando Bloom,89217,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/89217.jpg,,,,,0
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,3,Keira Knightley,461136,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/461136.jpg,,,,,0
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,4,Jack Davenport,202603,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/202603.jpg,,,,,0
10,383574,Pirates of the Caribbean: Dead Man's Chest,cast,5,Bill Nighy,631490,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/631490.jpg,,,,,0
11,416449,300,cast,1,Gerard Butler,124930,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/124930.jpg,,,,,0
11,416449,300,cast,2,Lena Headey,372176,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/372176.jpg,,,,,0
11,416449,300,cast,3,Dominic West,922035,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/922035.jpg,,,,,0
11,416449,300,cast,4,David Wenham,920992,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/920992.jpg,,,,,0
11,416449,300,cast,5,Vincent Regan,716490,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/716490.jpg,,,,,0
12,952640,Alvin and the Chipmunks,cast,1,Jason Lee,5134,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/5134.jpg,,,,,0
12,952640,Alvin and the Chipmunks,cast,2,David Cross,189144,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/189144.jpg,,,,,0
12,952640,Alvin and the Chipmunks,cast,3,Cameron Richardson,724460,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/724460.jpg,,,,,0
12,952640,Alvin and the Chipmunks,cast,4,Jane Lynch,528331,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/528331.jpg,,,,,0
12,952640,Alvin and the Chipmunks,cast,5,Justin Long,519043,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/519043.jpg,,,,,1
